Active Status,Item,Description,Price,Cost,Manufacturer
Active,AMAZON:FIRE TV,Streaming Media Player,110,89.99,AMAZON
Active,AMAZON:KINDLE FIRE,"Kindle Fire HDX 8.9'' Tablet, Wi-Fi, 16GB",379,379,AMAZON
Active,AMINA,,0,0,AMINA
Active,AMINA:AIW350i,"Single Channel In-Wall Loudspeaker Panel, 30 Watts RMS, Max 60W.",950,475,AMINA
Active,AMINA:ALF40,High Performance Discreet Bass Enhancer.,470,235,AMINA
Active,AMINA:BACKBOX CV345,Cavity Wall Backbox.,160,80,AMINA
Active,AMSECO,DO NOT USE,0,0,AMSECO
Active,AMSECO:SSX-52,15 Watt Indoor/Outdoor Siren,62.4,37.44,AMSECO
Active,AMSECO:SSX-52S,Indoor/Outdoor Siren and Siren/Strobe,89,55,AMSECO
Active,APPLE,DO NOT USE,0,0,APPLE
Active,APPLE:1.4GHZ MAC MINI,"1.4GHz Dual-Core Intel Core i5, 4GB Memory, 500GB Hard Drive",499,499,APPLE
Active,APPLE:2.6GHZ MAC MINI,"2.6GHz Dual-Core Intel Core i5, 8GB Memory, 1TB Hard Drive",699,674,APPLE
Active,APPLE:2.8GHZ MAC MINI,"2.8GHz Dual-Core Intel Core i5, 8GB Memory, 1TB Fusion Drive",999,999,APPLE
Active,APPLE:AIRPORT EXPRESS,802.11n Wireless Access Point,99,94.95,APPLE
Active,APPLE:AIRPORT EXTREME,Base Station With 802.11n and AirTunes,234.12,198.95,APPLE
Not-active,APPLE:APPLE TV 3RD GEN,Streaming Media Player,69,69,APPLE
Active,APPLE:APPLE TV 4K 32GB,Apple 4K Streaming Media Player w/32GB Storage,179.99,178.95,APPLE
Active,APPLE:APPLE TV 4K 64GB,Apple 4K Streaming Media Player w/64GB Storage,199,199,APPLE
Not-active,APPLE:APPLE TV 4TH GEN 32GB,Streaming Media Player - fourth generation,149,148.95,APPLE
Not-active,APPLE:APPLE TV 4TH GEN 64GB,Streaming Media Player - fourth generation,199.95,199.95,APPLE
Active,APPLE:APPLE TV WM,4th Gen Apple TV Wall Mount,39.94,9.95,APPLE
Active,APPLE:EXPRESS DOCK FOR IPAD/IPAD MINI,Express Dock for iPad & iPad Mini,59.95,59.95,APPLE
Not-active,APPLE:IPAD 2,iPad 2 with Wi-Fi 16GB - White,399,399,APPLE
Not-active,APPLE:IPAD 3,iPad with Wi-Fi 16GB - White - Retina Display (3rd Generation Ipad),499,499,APPLE
Not-active,APPLE:IPAD AIR 16GB,iPad Air Wi-Fi 16GB - 9.7'' Retina Display,499,389.99,APPLE
Not-active,APPLE:IPAD AIR 2 128GB,"iPad Air 2, Wi-Fi, 128GB, Silver",699,489,APPLE
Not-active,APPLE:IPAD AIR 2 16GB SILVER,iPad Air 2 16GB Silver/White,499,399,APPLE
Not-active,APPLE:IPAD AIR 2 32GB (SPACE GRAY),"iPad Air 2 Wi-Fi 32GB, Space Gray.",499,299,APPLE
Not-active,APPLE:IPAD MINI 2 16GB BLACK,iPad Mini 2nd Gen 16GB - 7.9'' Retina Display,399,266.14,APPLE
Not-active,APPLE:IPAD MINI 2 32G SILVER,IPAD Mini 2nd Generation 32GB,299.99,299.99,APPLE
Not-active,APPLE:IPAD MINI 4 128GB (SPACE GRAY),iPad Mini 4 with 128GB of Storage and Retina Display.,399,357.95,APPLE
Not-active,APPLE:IPAD MINI 4 128GB BLACK,iPad Mini 4th Gen 128GB - 7.9'' Retina Display,399,599,APPLE
Not-active,APPLE:IPAD MINI 4 16GB BLACK,iPad Mini 4th Gen 16B - 7.9'' Retina Display,399,350.99,APPLE
Not-active,APPLE:IPAD MINI 4 16GB SILVER,iPad Mini 4th Gen 16B - 7.9'' Retina Display (Silver),399,394.8,APPLE
Not-active,APPLE:IPAD MINI 4 32GB (SILVER),iPad Mini 4 with 32GB of Storage and Retina Display.,399,398.95,APPLE
Not-active,APPLE:IPAD MINI 4 32GB (SPACE GRAY),iPad Mini 4 with 32GB of Storage and Retina Display.,399,398.95,APPLE
Active,APPLE:IPAD MINI 5 64GB (SILVER),"iPad Mini 5 with 64GB of Storage and Retina Display, Silver",399.99,399.99,APPLE
Active,APPLE:IPAD MINI 5 64GB (SPACE GRAY),"iPad Mini 5 with 64GB of Storage and Retina Display, Space Gray",399.99,398.95,APPLE
Active,APPLE:IPAD PRO 12.9 64GB (SPACE GRAY),"iPad Pro 12.9"" with 64GB of Storage and Retina Display, Space Gray",999,999,APPLE
Active,APPLE:IPAD PRO 9.7 32GB (SILVER),"iPad Pro 9.7"" with 32GB of Storage and Retina Display, Space Gray.",599,599,APPLE
Active,APPLE:IPAD PRO 9.7 32GB (SPACE GRAY),"iPad Pro 9.7"" with 32GB of Storage and Retina Display, Space Gray.",599,329,APPLE
Active,APPLE:IPOD TOUCH 16GB,"iPod Touch, 16GB, 5th Generation, Space Grey",199,195,APPLE
Active,APPLE:IPOD TOUCH 32GB,iPod Touch with 32GB of Storage and Retina Display.,199,199,APPLE
Active,APPLE:LIGHTNING DIGITAL AV ADAPTER,Lightning Digital AV Adapter,49,44.96,APPLE
Active,APPLE:LIGHTNING DOCK,Charge + Sync Dock for iPhone 5,39.95,39,APPLE
Active,APPLE:LIGHTNING TO 30-PIN ADAPTER,Lightning To 30-Pin Adapter,29,29,APPLE
Active,APPLE:LIGHTNING TO USB 3 CAMERA ADAP,Lightning to USB 3 Camera Adapter,39,38,APPLE
Active,APPLE:MAGIC MOUSE (WIRELESS),Magic Mouse (Wireless),69,69,APPLE
Active,APPLE:TV TRAY,"Slim, Black  AppleTV Tray",29.95,29.95,APPLE
Active,APPLE:USB ETHERNET ADAPTER,USB Ethernet Adapter,29,29,APPLE
Active,APPLE:WIRELESS KEYBOARD,Apple-Compatible Wireless Keyboard,69,69,APPLE
Active,APRILAIRE,,0,0,APRILAIRE
Active,APRILAIRE:8029,"Transformer, 24VAC",31.8,15.9,APRILAIRE
